name,type,full_name,full_path,code,parent_code
Mai Hoa,xa,Xã Mai Hoa,"Xã Mai Hoa, Tỉnh Hà Tĩnh",5146,26
Thượng Đức,xa,Xã Thượng Đức,"Xã Thượng Đức, Tỉnh Hà Tĩnh",5402,26
Đức Đồng,xa,Xã Đức Đồng,"Xã Đức Đồng, Tỉnh Hà Tĩnh",5658,26
Hương Bình,xa,Xã Hương Bình,"Xã Hương Bình, Tỉnh Hà Tĩnh",5914,26
Hương Xuân,xa,Xã Hương Xuân,"Xã Hương Xuân, Tỉnh Hà Tĩnh",6170,26
Phúc Trạch,xa,Xã Phúc Trạch,"Xã Phúc Trạch, Tỉnh Hà Tĩnh",6426,26
Hà Linh,xa,Xã Hà Linh,"Xã Hà Linh, Tỉnh Hà Tĩnh",6682,26
Hương Đô,xa,Xã Hương Đô,"Xã Hương Đô, Tỉnh Hà Tĩnh",6938,26
Hương Phố,xa,Xã Hương Phố,"Xã Hương Phố, Tỉnh Hà Tĩnh",7194,26
Toàn Lưu,xa,Xã Toàn Lưu,"Xã Toàn Lưu, Tỉnh Hà Tĩnh",7450,26
Hải Ninh,phuong,Phường Hải Ninh,"Phường Hải Ninh, Tỉnh Hà Tĩnh",7706,26
Kỳ Anh,xa,Xã Kỳ Anh,"Xã Kỳ Anh, Tỉnh Hà Tĩnh",7962,26
Kỳ Hoa,xa,Xã Kỳ Hoa,"Xã Kỳ Hoa, Tỉnh Hà Tĩnh",8218,26
Kỳ Văn,xa,Xã Kỳ Văn,"Xã Kỳ Văn, Tỉnh Hà Tĩnh",8474,26
Kỳ Khang,xa,Xã Kỳ Khang,"Xã Kỳ Khang, Tỉnh Hà Tĩnh",8730,26
Kỳ Lạc,xa,Xã Kỳ Lạc,"Xã Kỳ Lạc, Tỉnh Hà Tĩnh",8986,26
Kỳ Thượng,xa,Xã Kỳ Thượng,"Xã Kỳ Thượng, Tỉnh Hà Tĩnh",9242,26
Cẩm Xuyên,xa,Xã Cẩm Xuyên,"Xã Cẩm Xuyên, Tỉnh Hà Tĩnh",9498,26
Cẩm Duệ,xa,Xã Cẩm Duệ,"Xã Cẩm Duệ, Tỉnh Hà Tĩnh",9754,26
Cẩm Hưng,xa,Xã Cẩm Hưng,"Xã Cẩm Hưng, Tỉnh Hà Tĩnh",10010,26
Cẩm Lạc,xa,Xã Cẩm Lạc,"Xã Cẩm Lạc, Tỉnh Hà Tĩnh",10266,26
Cẩm Trung,xa,Xã Cẩm Trung,"Xã Cẩm Trung, Tỉnh Hà Tĩnh",10522,26
Yên Hòa,xa,Xã Yên Hòa,"Xã Yên Hòa, Tỉnh Hà Tĩnh",10778,26
Trần Phú,phuong,Phường Trần Phú,"Phường Trần Phú, Tỉnh Hà Tĩnh",11034,26
Thạch Lạc,xa,Xã Thạch Lạc,"Xã Thạch Lạc, Tỉnh Hà Tĩnh",11290,26
Đồng Tiến,xa,Xã Đồng Tiến,"Xã Đồng Tiến, Tỉnh Hà Tĩnh",11546,26
Thạch Khê,xa,Xã Thạch Khê,"Xã Thạch Khê, Tỉnh Hà Tĩnh",11802,26
Cẩm Bình,xa,Xã Cẩm Bình,"Xã Cẩm Bình, Tỉnh Hà Tĩnh",12058,26
Thạch Hà,xa,Xã Thạch Hà,"Xã Thạch Hà, Tỉnh Hà Tĩnh",12314,26
Việt Xuyên,xa,Xã Việt Xuyên,"Xã Việt Xuyên, Tỉnh Hà Tĩnh",12570,26
Đông Kinh,xa,Xã Đông Kinh,"Xã Đông Kinh, Tỉnh Hà Tĩnh",12826,26
Thạch Xuân,xa,Xã Thạch Xuân,"Xã Thạch Xuân, Tỉnh Hà Tĩnh",13082,26
Xuân Lộc,xa,Xã Xuân Lộc,"Xã Xuân Lộc, Tỉnh Hà Tĩnh",13338,26
Can Lộc,xa,Xã Can Lộc,"Xã Can Lộc, Tỉnh Hà Tĩnh",13594,26
Bắc Hồng Lĩnh,phuong,Phường Bắc Hồng Lĩnh,"Phường Bắc Hồng Lĩnh, Tỉnh Hà Tĩnh",13850,26
Nam Hồng Lĩnh,phuong,Phường Nam Hồng Lĩnh,"Phường Nam Hồng Lĩnh, Tỉnh Hà Tĩnh",14106,26
Đức Thịnh,xa,Xã Đức Thịnh,"Xã Đức Thịnh, Tỉnh Hà Tĩnh",14362,26
Nghi Xuân,xa,Xã Nghi Xuân,"Xã Nghi Xuân, Tỉnh Hà Tĩnh",14618,26
Cổ Đạm,xa,Xã Cổ Đạm,"Xã Cổ Đạm, Tỉnh Hà Tĩnh",14874,26
Tiên Điền,xa,Xã Tiên Điền,"Xã Tiên Điền, Tỉnh Hà Tĩnh",15130,26
Đức Thọ,xa,Xã Đức Thọ,"Xã Đức Thọ, Tỉnh Hà Tĩnh",15386,26
Đức Quang,xa,Xã Đức Quang,"Xã Đức Quang, Tỉnh Hà Tĩnh",15642,26
Hương Khê,xa,Xã Hương Khê,"Xã Hương Khê, Tỉnh Hà Tĩnh",15898,26
Gia Hanh,xa,Xã Gia Hanh,"Xã Gia Hanh, Tỉnh Hà Tĩnh",16154,26
Trường Lưu,xa,Xã Trường Lưu,"Xã Trường Lưu, Tỉnh Hà Tĩnh",16410,26
Hồng Lộc,xa,Xã Hồng Lộc,"Xã Hồng Lộc, Tỉnh Hà Tĩnh",16666,26
Lộc Hà,xa,Xã Lộc Hà,"Xã Lộc Hà, Tỉnh Hà Tĩnh",16922,26
Mai Phụ,xa,Xã Mai Phụ,"Xã Mai Phụ, Tỉnh Hà Tĩnh",17178,26
Tùng Lộc,xa,Xã Tùng Lộc,"Xã Tùng Lộc, Tỉnh Hà Tĩnh",17434,26
Đồng Lộc,xa,Xã Đồng Lộc,"Xã Đồng Lộc, Tỉnh Hà Tĩnh",17690,26
